Sector,MSME_ID,Export_Volume_PreFTA,Export_Volume_PostFTA_Est,Tariff_PreFTA,Tariff_PostFTA,UK_Demand_Growth,Production_Capacity,Export_Experience,Logistics_Cost,Certifications,Workforce_Size,FTA_Access_Score,UK_Market_Share,Sentiment_Score,Exchange_Rate_Impact,Procurement_Opportunity,Innovation_Index,Target_Export_Growth
pharmaceuticals,MSME_PH00000,2.45,3.63,29.28,2.99,2.34,31.62,10,2.32,2,104,0.51,1.51,0.78,4.44,False,0.86,5.07
textiles,MSME_TE00001,24.380000000000003,32.84,16.12,0.04,0.35,105.19,9,0.28,2,194,0.51,1.0,0.76,2.37,False,0.38,98.41
footwear,MSME_FO00002,3.24,4.68,27.21,2.25,0.2,188.47,13,4.05,0,350,0.46,1.07,0.52,-7.56,False,0.4,8.27
leather,MSME_LE00003,12.1,14.56,26.5,1.56,0.2,109.57,17,3.89,1,206,0.48,8.96,0.59,1.96,False,0.48,13.41
leather,MSME_LE00004,1.1900000000000002,1.33,13.01,1.94,-2.29,165.83,12,0.75,2,305,0.37,0.84,0.53,4.58,False,0.45,12.03
electronics,MSME_EL00005,2.3200000000000003,2.66,34.52,3.12,13.31,13.18,4,3.66,3,218,0.79,8.88,0.74,-0.56,True,0.37,72.76
pharmaceuticals,MSME_PH00006,7.25,9.6,30.84,2.47,7.84,85.79,9,2.22,4,67,0.66,8.97,0.93,3.91,False,0.38,62.42
alcoholic beverages,MSME_AL00007,3.98,4.7,147.14,35.99,10.42,176.15,9,4.05,0,138,0.64,4.62,0.4,-5.63,False,0.38,88.91
pharmaceuticals,MSME_PH00008,2.06,2.37,14.25,4.53,4.08,129.71,19,1.8,4,363,0.44,1.73,0.73,3.85,False,0.46,28.19
marine products,MSME_MA00009,1.02,1.21,22.32,2.02,0.97,51.16,11,1.3,1,391,0.48,3.08,0.75,-4.3,False,0.31,62.91
textiles,MSME_TE00010,3.5900000000000003,4.02,12.79,4.54,3.59,29.41,11,2.27,1,420,0.41,5.97,0.74,-5.16,False,0.46,49.68
textiles,MSME_TE00011,20.6,25.95,18.16,3.99,2.26,101.89,15,0.25,2,424,0.45,0.26,0.72,0.24,False,0.35,66.29
pharmaceuticals,MSME_PH00012,1.06,1.46,15.47,4.68,2.06,68.54,17,4.63,3,302,0.4,2.65,0.85,1.1,False,0.62,27.98
leather,MSME_LE00013,0.59,0.86,36.02,3.17,-1.61,70.17,15,4.24,3,156,0.42,4.1,0.53,7.76,False,0.47,93.89
leather,MSME_LE00014,7.79,10.65,23.23,1.86,4.4,194.75,17,0.85,1,198,0.57,6.95,0.44,4.24,False,0.35,35.91
alcoholic beverages,MSME_AL00015,6.96,9.46,142.46,36.58,8.52,19.19,18,3.2,1,242,0.58,5.94,0.48,9.58,False,0.4,91.08
textiles,MSME_TE00016,2.95,3.66,16.45,3.34,12.96,46.42,15,1.44,2,196,0.72,6.49,0.74,9.33,False,0.49,86.04
alcoholic beverages,MSME_AL00017,1.84,2.31,142.56,33.17,2.54,111.58,2,2.87,3,118,0.45,6.19,0.49,9.8,False,0.33,54.24
leather,MSME_LE00018,10.59,14.79,27.88,3.51,-1.41,59.07,2,1.32,3,17,0.4,0.91,0.47,7.73,False,0.31,59.99
alcoholic beverages,MSME_AL00019,2.99,4.09,116.41,31.55,14.73,167.87,16,0.23,1,275,0.73,3.67,0.44,-7.46,False,0.4,78.15
marine products,MSME_MA00020,1.32,1.78,3.41,0.26,7.97,108.36,7,3.64,0,374,0.66,5.21,0.65,-4.58,False,0.39,12.45
leather,MSME_LE00021,0.23,0.34,33.44,3.48,-0.91,35.07,0,2.24,3,130,0.43,1.03,0.47,-6.34,False,0.49,65.64
chemicals,MSME_CH00022,3.74,5.1,17.43,3.65,0.72,113.42,18,3.8,0,289,0.41,1.25,0.72,-0.52,True,0.32,51.7
footwear,MSME_FO00023,3.31,3.87,17.35,1.99,9.24,127.2,1,1.34,1,254,0.67,9.34,0.59,0.02,False,0.41,69.98
textiles,MSME_TE00024,4.88,7.21,19.44,4.34,9.55,160.29,11,1.97,0,421,0.63,8.13,0.77,6.41,False,0.43,24.64
electronics,MSME_EL00025,1.7000000000000002,2.02,15.09,0.19,16.18,67.64,7,1.96,1,94,0.9,3.47,0.76,-4.79,True,0.6,70.82
marine products,MSME_MA00026,2.24,3.3,1.57,2.09,14.51,109.82,4,3.77,3,231,0.2,9.91,0.51,5.53,False,0.37,93.42
gems and jewelry,MSME_GE00027,9.87,12.55,30.03,3.77,1.55,180.56,19,4.14,1,401,0.48,8.97,0.59,-2.22,False,0.3,91.01
footwear,MSME_FO00028,0.58,0.71,38.0,4.75,8.6,126.55,20,0.5,3,29,0.65,5.58,0.53,8.62,False,0.49,99.61
electronics,MSME_EL00029,0.39,0.54,21.84,3.53,19.69,137.76,11,4.34,1,11,0.91,4.32,0.71,-5.55,True,0.54,89.73
leather,MSME_LE00030,0.89,1.16,9.33,2.91,3.63,176.13,16,4.74,0,305,0.43,7.56,0.46,5.54,False,0.41,45.3
gems and jewelry,MSME_GE00031,11.94,13.67,19.71,0.06,7.03,11.73,7,0.63,0,427,0.67,7.49,0.64,1.67,False,0.49,40.61
pharmaceuticals,MSME_PH00032,1.78,2.58,8.94,4.82,0.18,193.99,14,4.46,3,217,0.23,9.93,0.8,9.39,False,0.61,64.79
pharmaceuticals,MSME_PH00033,6.05,7.75,25.1,2.92,13.52,9.57,11,4.8,5,460,0.78,4.01,0.76,-7.86,False,0.5,21.12
marine products,MSME_MA00034,5.3,6.65,9.18,1.33,5.41,52.36,16,1.43,0,216,0.56,6.07,0.57,-8.48,False,0.49,44.58
pharmaceuticals,MSME_PH00035,4.449999999999999,6.53,3.31,4.38,8.27,33.38,0,3.9,3,228,0.05,9.85,0.78,-2.47,False,0.75,42.33
gems and jewelry,MSME_GE00036,8.94,11.87,2.54,0.18,2.01,3.23,5,3.47,0,355,0.51,7.52,0.66,4.52,False,0.45,40.9
gems and jewelry,MSME_GE00037,1.48,1.75,10.06,1.37,3.11,175.71,7,3.11,3,99,0.51,1.22,0.69,3.43,False,0.4,78.37
footwear,MSME_FO00038,3.77,5.43,22.08,2.8,13.15,80.99,15,2.43,2,211,0.77,7.87,0.61,8.06,False,0.42,98.14
textiles,MSME_TE00039,4.779999999999999,6.48,15.55,0.46,10.9,109.72,0,3.93,1,251,0.76,5.28,0.78,3.95,False,0.46,48.64
chemicals,MSME_CH00040,9.33,13.13,2.65,0.23,9.31,69.81,10,2.92,2,375,0.69,5.42,0.82,-1.99,True,0.44,22.11
alcoholic beverages,MSME_AL00041,6.06,7.66,143.72,35.15,14.6,120.59,18,0.25,0,470,0.74,2.86,0.39,-6.46,False,0.32,16.46
pharmaceuticals,MSME_PH00042,3.19,3.77,14.57,2.52,10.36,8.34,14,3.16,4,60,0.67,8.75,0.84,4.97,False,0.41,24.89
marine products,MSME_MA00043,2.41,3.12,24.73,1.84,6.94,149.62,13,0.78,2,11,0.64,6.9,0.57,6.89,False,0.45,7.89
pharmaceuticals,MSME_PH00044,10.2,12.66,15.89,0.52,11.06,36.87,6,1.64,4,90,0.76,3.34,0.88,5.78,False,0.6,13.26
alcoholic beverages,MSME_AL00045,3.95,5.27,137.27,34.32,1.91,57.11,5,4.5,3,230,0.42,2.52,0.49,-0.04,False,0.37,93.7
footwear,MSME_FO00046,0.14,0.17,14.61,2.44,12.76,18.03,8,0.45,2,35,0.74,4.16,0.57,7.31,False,0.46,29.5
gems and jewelry,MSME_GE00047,1.04,1.42,37.18,2.78,8.57,56.36,11,1.07,1,122,0.68,7.14,0.65,-6.01,False,0.45,55.33
leather,MSME_LE00048,6.239999999999999,8.78,3.49,2.53,4.32,64.47,2,0.31,1,14,0.25,5.53,0.43,3.69,False,0.32,18.19
pharmaceuticals,MSME_PH00049,0.11,0.13,18.93,3.03,11.91,21.79,4,4.16,5,438,0.72,1.33,0.81,4.62,False,0.86,22.22
textiles,MSME_TE00050,0.44000000000000006,0.61,15.74,4.21,2.1,159.16,13,4.01,2,217,0.42,1.95,0.78,8.16,False,0.36,60.89
leather,MSME_LE00051,5.84,7.48,28.55,4.5,1.24,108.19,14,2.91,0,229,0.45,3.98,0.44,0.64,False,0.31,26.76
footwear,MSME_FO00052,4.01,5.1,13.31,3.65,10.41,33.76,14,3.12,3,482,0.62,8.95,0.53,-3.77,False,0.35,75.67
pharmaceuticals,MSME_PH00053,0.27,0.36,30.5,4.38,5.13,164.34,14,4.24,5,440,0.56,4.03,0.82,5.95,False,0.39,26.78
leather,MSME_LE00054,6.51,9.04,25.65,3.47,0.43,50.73,4,4.14,1,334,0.44,3.49,0.48,-4.24,False,0.42,91.63
pharmaceuticals,MSME_PH00055,0.85,0.97,10.24,3.63,8.89,20.89,15,3.5,5,297,0.55,7.1,0.73,-6.95,False,0.65,62.64
marine products,MSME_MA00056,2.86,3.99,37.37,4.63,6.76,23.09,20,0.87,3,186,0.61,8.39,0.54,-5.45,False,0.42,41.03
footwear,MSME_FO00057,6.92,8.18,31.51,3.02,1.71,83.19,10,4.62,2,214,0.49,4.86,0.5,8.37,False,0.42,8.12
chemicals,MSME_CH00058,12.29,14.74,23.11,0.83,0.51,62.64,10,3.18,3,374,0.49,6.67,0.69,-8.29,True,0.5,52.71
gems and jewelry,MSME_GE00059,4.619999999999999,5.21,30.0,1.05,13.47,41.43,16,0.23,1,148,0.82,5.69,0.59,-8.69,False,0.46,48.06
electronics,MSME_EL00060,3.8200000000000003,4.88,16.03,2.8,11.55,36.79,6,3.78,1,462,0.7,8.98,0.77,9.58,True,0.8,87.36
gems and jewelry,MSME_GE00061,2.72,3.59,10.16,0.98,7.58,119.21,14,2.87,2,101,0.64,5.61,0.66,4.42,False,0.46,98.93
gems and jewelry,MSME_GE00062,4.72,6.72,38.51,4.72,2.12,81.58,15,0.48,1,267,0.49,7.39,0.67,4.08,False,0.48,64.35
leather,MSME_LE00063,2.15,3.07,14.52,0.17,3.31,69.37,8,2.21,3,359,0.58,9.49,0.54,5.27,False,0.33,87.5
footwear,MSME_FO00064,3.44,5.01,31.99,2.13,0.34,54.1,7,3.51,0,363,0.48,2.26,0.5,-7.35,False,0.48,70.67
pharmaceuticals,MSME_PH00065,5.85,8.36,21.19,4.08,7.47,13.9,4,3.27,3,80,0.59,2.14,0.89,-9.78,False,0.38,90.5
electronics,MSME_EL00066,10.45,13.99,24.02,3.33,11.75,182.93,20,1.95,1,50,0.72,0.56,0.73,-8.34,True,0.66,28.31
alcoholic beverages,MSME_AL00067,2.5700000000000003,3.12,117.78,37.19,4.46,113.5,1,2.01,3,250,0.45,1.44,0.41,-0.32,False,0.35,56.29
leather,MSME_LE00068,0.98,1.41,33.86,4.78,-3.45,124.85,1,0.58,0,300,0.34,7.31,0.6,-1.3,False,0.35,82.81
